"event","time","poss.position","poss.team","poss.number","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","NA","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","def.number"
"146","10","GK","WNYF",NA,"D'Angelo","passes.f","D18",NA,"launch","M","WAS",NA,"Nairn","interceptions","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"147","10","M","WAS",NA,"Nairn","passes.f","AM3L",NA,"headed","D","WNYF",NA,"Eddy","interceptions","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"148","10","D","WNYF",NA,"Eddy","passes.f","D3R",NA,"headed","M","WAS",NA,"Lohman","interceptions","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"149","10","M","WAS",NA,"Lohman","passes.f.c","AM3L","A18","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","10","F","WAS",NA,"Dunn","take.on.lost","A18",NA,NA,"D","WNYF",NA,"Dahlkemper","tackles.ball","D18",NA,NA,NA,NA,NA,NA,NA,NA
"151","10","D","WNYF",NA,"Dahlkemper","passes.b.c","D18","D6",NA,"F","WAS",NA,"Dunn","challenged","A18",NA,NA,NA,NA,NA,NA,NA,NA
"152","10","GK","WNYF",NA,"D'Angelo","passes.f.c","D6","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","10","M","WNYF",NA,"Ayinde","lost.touch","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","10","M","WNYF",NA,"Mewis","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","10","M","WNYF",NA,"Mewis","passes.f","DM3C",NA,"through","GK","WAS",NA,"Labbe","gk.loose.balls.won","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"156","10","GK","WAS",NA,"Labbe","passes.f.c","D3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","10","D","WAS",NA,"Oyster","movement","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","10","D","WAS",NA,"Oyster","passes.f.c","DM3R","DM3R",NA,"F","WNYF",NA,"Doniak","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"159","11","D","WAS",NA,"Krieger","passes.b.c","DM3R","D3C",NA,"F","WNYF",NA,"Smith","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"160","11","GK","WAS",NA,"Labbe","passes.f.c","D3C","DM3L","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","11","D","WAS",NA,"Kleiner","passes.b.c","DM3L","D3L",NA,"F","WNYF",NA,"Williams","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
"162","11","D","WAS",NA,"Zadorsky","movement","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","11","D","WAS",NA,"Zadorsky","passes.f.c","DM3L","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","11","F","WAS",NA,"Dunn","take.on.won","DM3C",NA,NA,"M","WNYF",NA,"Ayinde","dribbled.tackles.missed","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
"164","11",NA,NA,NA,NA,NA,NA,NA,NA,"M","WNYF",NA,"Mewis","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
"165","11","F","WAS",NA,"Dunn","passes.b.c","DM3C","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","11","D","WAS",NA,"Oyster","movement","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","11","D","WAS",NA,"Oyster","passes.f","DM3R",NA,"launch","D","WNYF",NA,"Dahlkemper","clearances","D3C",NA,NA,NA,NA,NA,NA,NA,NA
"168","11","M","WAS",NA,"Lohman","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","11","M","WAS",NA,"Lohman","passes.f","AM3C",NA,"through","M","WNYF",NA,"Kennedy","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"169","11",NA,NA,NA,NA,NA,NA,NA,NA,"D","WNYF",NA,"Eddy","interceptions","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"170","11","D","WNYF",NA,"Eddy","passes.f.c","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","11","F","WNYF",NA,"Williams","passes.b.c","DM3R","DM3R",NA,"M","WAS",NA,"Huster","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"172","11","M","WNYF",NA,"Mewis","passes.b.c","DM3R","D3R",NA,"M","WAS",NA,"Lohman","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"173","11","D","WNYF",NA,"Eddy","passes.f.c","D3R","DM3C",NA,"M","WAS",NA,"Matheson","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA
"174","11","M","WNYF",NA,"Kennedy","passes.b.c","DM3C","DM3L",NA,"M","WAS",NA,"Nairn","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
"175","11","D","WNYF",NA,"Erceg","passes.f","DM3L",NA,"launch","D","WAS",NA,"Krieger","interceptions","DM3R",NA,NA,NA,NA,NA,NA,NA,NA
"176","11","D","WAS",NA,"Krieger","passes.f.c","DM3R","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","11","M","WAS",NA,"Nairn","passes.f.c","DM3L","AM3L",NA,"M","WNYF",NA,"Kennedy","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
"178","11","M","WAS",NA,"Lohman","passes.f","AM3L",NA,"through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","11","F","WAS",NA,"Dunn","offside.calls","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","11","GK","WNYF",NA,"D'Angelo","passes.f.c","D3C","D3C","free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","12","D","WNYF",NA,"Dahlkemper","passes.f.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","12","M","WNYF",NA,"Mewis","passes.s.c","D3C","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","12","D","WNYF",NA,"Erceg","passes.f.c","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","12","D","WNYF",NA,"Hinkle","movement","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","12","D","WNYF",NA,"Hinkle","movement","AM3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","12","D","WNYF",NA,"Hinkle","passes.s","A3L",NA,NA,"F","WAS",NA,"Williams","blocks","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"186","12",NA,NA,NA,NA,NA,NA,NA,NA,"F","WAS",NA,"Williams","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"187","12","D","WNYF",NA,"Hinkle","recoveries","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","12","D","WNYF",NA,"Hinkle","dispossessed","A3L",NA,NA,"F","WAS",NA,"Williams","tackles.ball","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"189","12","F","WAS",NA,"Dunn","recoveries","DM3R",NA,NA,"M","WNYF",NA,"Kennedy","challenged","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"190","12","F","WAS",NA,"Dunn","passes.f","DM3R",NA,NA,"D","WNYF",NA,"Eddy","interceptions","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"191","12","D","WNYF",NA,"Eddy","passes.s","DM3C",NA,NA,"M","WAS",NA,"Matheson","blocks","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
"192","12","D","WNYF",NA,"Dahlkemper","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","12","D","WNYF",NA,"Dahlkemper","passes.s.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","12","M","WNYF",NA,"Mewis","passes.f","DM3C",NA,"launch","D","WAS",NA,"Kleiner","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA,NA
"194","12",NA,NA,NA,NA,NA,NA,NA,"through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","12","D","WAS",NA,"Kleiner","clearances","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
"196","12","D","WNYF",NA,"Eddy","passes.s.c","A3R","A3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","12","F","WNYF",NA,"Doniak","passes.s.c","A3R","A3R",NA,"D","WAS",NA,"Kleiner","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA
"198","12","D","WNYF",NA,"Eddy","passes.s","A3R",NA,NA,"D","WAS",NA,"Kleiner","blocks","D3L",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
"198","12",NA,NA,NA,NA,NA,NA,NA,NA,"D","WAS",NA,"Kleiner","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA
"198","12",NA,NA,NA,NA,NA,NA,NA,NA,"M","WAS",NA,"Matheson","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA
"199","13","D","WNYF",NA,"Dahlkemper","passes.s.c","A3R","A18","corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","13",NA,NA,NA,NA,NA,NA,NA,"corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","13","M","WNYF",NA,"Kennedy","fouls.conceded","A18",NA,NA,"D","WAS",NA,"Zadorsky",NA,NA,NA,NA,"fouls.conceded",NA,"fouls.won",NA,NA,NA
"201","13","GK","WAS",NA,"Labbe","passes.f","D18",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","13",NA,NA,NA,NA,NA,NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","13","M","WAS",NA,"Lohman","aerial.lost","AM3C",NA,NA,"D","WNYF",NA,"Dahlkemper","aerial.won","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"203","14","F","WAS",NA,"Dunn","aerial.won","A3C",NA,NA,"D","WNYF",NA,"Hinkle","aerial.lost","D3C",NA,NA,NA,NA,NA,NA,NA,NA
"204","14","D","WNYF",NA,"Hinkle","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","14","D","WNYF",NA,"Hinkle","dispossessed","D3C",NA,NA,"F","WAS",NA,"Williams","tackles.ball","A3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
"206","14","D","WAS",NA,"Krieger","passes.f","A3R",NA,"throw.in","D","WNYF",NA,"Erceg","blocks","D3L",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA
"207","14","D","WAS",NA,"Krieger","passes.s.c","A3R","A3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","14","F","WAS",NA,"Williams","passes.b.c","A3R","A3R","lay.off","D","WNYF",NA,"Erceg","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA
"209","14","M","WAS",NA,"Nairn","passes.f.c","A3R","A3R",NA,"F","WNYF",NA,"Smith","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA
"210","14","D","WAS",NA,"Krieger","passes.b.c","A3R","A3R",NA,"D","WNYF",NA,"Hinkle","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA
"211","14","M","WAS",NA,"Nairn","passes.b.c","A3R","AM3C",NA,"F","WNYF",NA,"Smith","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA
"212","14","D","WAS",NA,"Zadorsky","passes.s.c","AM3C","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","14","D","WAS",NA,"Kleiner","dispossessed","AM3L",NA,NA,"F","WNYF",NA,"Williams","tackles.ball","DM3R",NA,NA,NA,NA,NA,NA,NA,NA
"214","14","D","WAS",NA,"Kleiner","recoveries","AM3L",NA,NA,"F","WNYF",NA,"Williams","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA
"215","14","D","WAS",NA,"Kleiner","passes.f.c","AM3L","A3L","through","F","WNYF",NA,"Williams","challenged","DM3R",NA,NA,NA,NA,NA,NA,NA,NA
"216","14","M","WAS",NA,"Lohman","passes.s.c","A3L","A3L",NA,"D","WNYF",NA,"Eddy","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"217","14","F","WAS",NA,"Dunn","passes.b.c","A3L","A3L",NA,"M","WNYF",NA,"Mewis","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"218","14","M","WAS",NA,"Lohman","passes.f.c","A3L","A3L",NA,"D","WNYF",NA,"Eddy","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"219","15","D","WAS",NA,"Kleiner","passes.s","A3L",NA,"corner.crosses","D","WNYF",NA,"Eddy","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"220","15","F","WAS",NA,"Williams","aerial.lost","A18",NA,NA,"D","WNYF",NA,"Erceg","aerial.won","D18",NA,NA,NA,NA,NA,NA,NA,NA
"221","15","M","WAS",NA,"Nairn","shots.missed","A3C",NA,NA,"GK","WNYF",NA,"D'Angelo","gk.loose.balls.won","D18",NA,NA,NA,NA,NA,NA,NA,NA
"221","15",NA,NA,NA,NA,NA,NA,NA,NA,"M","WNYF",NA,"Kennedy","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA
"222","15","GK","WNYF",NA,"D'Angelo","passes.f.c","D18","D3C","gk.throws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","15","D","WNYF",NA,"Erceg","movement","D3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","15","D","WNYF",NA,"Erceg","passes.f.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","15","D","WNYF",NA,"Hinkle","lost.touch","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
"226","15","D","WAS",NA,"Krieger","passes.f.c","AM3R","AM3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","15","F","WAS",NA,"Dunn","lost.touch","AM3R",NA,NA,"D","WNYF",NA,"Hinkle","challenged","DM3L",NA,NA,NA,NA,NA,NA,NA,NA
"228","15","D","WNYF",NA,"Dahlkemper","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","15","D","WNYF",NA,"Dahlkemper","passes.f.c","D3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","15","M","WNYF",NA,"Ayinde","lost.touch","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","15","M","WAS",NA,"Lohman","recoveries","AM3C",NA,NA,"M","WNYF",NA,"Ayinde","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"232","15","M","WAS",NA,"Lohman","passes.f","AM3C",NA,NA,"M","WNYF",NA,"Ayinde","challenged","DM3C",NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA
"233","16","M","WAS",NA,"Nairn","passes.f","AM3C",NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","16",NA,NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","16","M","WAS",NA,"Lohman","aerial.lost","D18",NA,NA,"D","WNYF",NA,"Eddy","aerial.won","A18",NA,NA,NA,NA,NA,NA,NA,NA
"235","16","D","WNYF",NA,"Hinkle","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","16","D","WNYF",NA,"Hinkle","lost.touch","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","16","M","WAS",NA,"Matheson","recoveries","A3C",NA,NA,"D","WNYF",NA,"Hinkle","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA
"238","16","M","WAS",NA,"Matheson","passes.f","A3C",NA,NA,"D","WNYF",NA,"Hinkle","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA
"239","16","D","WNYF",NA,"Erceg","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","16","D","WNYF",NA,"Erceg","passes.f","D18",NA,NA,"M","WAS",NA,"Huster","interceptions","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
"241","16","M","WAS",NA,"Huster","passes.b.c","AM3C","AM3C",NA,"F","WNYF",NA,"Doniak","challenged","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"242","16","D","WAS",NA,"Zadorsky","clearances","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
"243","16","D","WNYF",NA,"Eddy","passes.s.c","D3R","D3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","16","D","WNYF",NA,"Dahlkemper","passes.f.c","D3R","DM3R","launch","F","WAS",NA,"Dunn","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA
"245","16","F","WNYF",NA,"Doniak","passes.f","DM3R",NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","16","D","WAS",NA,"Zadorsky","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","16","D","WAS",NA,"Zadorsky","passes.b.c","DM3L","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","17","GK","WAS",NA,"Labbe","passes.f","D3C",NA,"launch","M","WNYF",NA,"Ayinde","pressured","A3C",NA,NA,NA,NA,NA,NA,NA,NA
"249","17","M","WAS",NA,"Nairn","aerial.lost","AM3C",NA,NA,"M","WNYF",NA,"Kennedy","aerial.won","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"250","17","D","WAS",NA,"Oyster","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","17","D","WAS",NA,"Oyster","passes.f","D3C",NA,"headed","M","WNYF",NA,"Kennedy","interceptions","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
"252","17","M","WNYF",NA,"Kennedy","passes.f","AM3C",NA,"through","GK","WAS",NA,"Labbe","gk.loose.balls.won","D18",NA,NA,NA,NA,NA,NA,NA,NA
"253","17","GK","WAS",NA,"Labbe","passes.f","D18",NA,"launch","F","WNYF",NA,"Doniak","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA
"254","17","F","WAS",NA,"Williams","aerial.lost","AM3C",NA,NA,"M","WNYF",NA,"Kennedy","aerial.won","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"255","17","M","WAS",NA,"Lohman","aerial.lost","AM3C",NA,NA,"M","WNYF",NA,"Mewis","aerial.won","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"256","17","M","WAS",NA,"Huster","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","17","M","WAS",NA,"Huster","passes.f.c","DM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","17","F","WAS",NA,"Dunn","passes.f.c","AM3C","A3L","through","M","WNYF",NA,"Mewis","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"258","17",NA,NA,NA,NA,NA,NA,NA,NA,"D","WNYF",NA,"Erceg","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"259","17","M","WAS",NA,"Matheson","passes.s.c","A3L","A18","corner.crosses","D","WNYF",NA,"Eddy","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA
"260","17","F","WAS",NA,"Dunn","aerial.won","A18",NA,NA,"D","WNYF",NA,"Erceg","aerial.lost","D18",NA,NA,NA,NA,NA,NA,NA,NA
"261","17","M","WNYF",NA,"Kennedy","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","17","M","WNYF",NA,"Kennedy","passes.f.c","D18","D18","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","17","M","WNYF",NA,"Mewis","clearances","D18",NA,NA,"M","WAS",NA,"Nairn","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA
"264","17","D","WAS",NA,"Oyster","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","17","D","WAS",NA,"Oyster","passes.b.c","DM3R","DM3C",NA,"M","WNYF",NA,"Ayinde","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"266","18","D","WAS",NA,"Zadorsky","passes.s.c","DM3C","DM3R",NA,"F","WNYF",NA,"Doniak","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
"267","18","D","WAS",NA,"Oyster","passes.f.c","DM3R","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","18","F","WAS",NA,"Williams","passes.f","A3C",NA,"through","M","WNYF",NA,"Kennedy","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA
"268","18",NA,NA,NA,NA,NA,NA,NA,NA,"GK","WNYF",NA,"D'Angelo","gk.loose.balls.won","D18",NA,NA,NA,NA,NA,NA,NA,NA
"269","18","GK","WNYF",NA,"D'Angelo","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","18","D","WNYF",NA,"Dahlkemper","movement","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","18","D","WNYF",NA,"Dahlkemper","passes.f","DM3R",NA,NA,"M","WAS",NA,"Lohman","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"271","18",NA,NA,NA,NA,NA,NA,NA,NA,"D","WAS",NA,"Krieger","blocks","DM3C",NA,NA,NA,NA,NA,NA,NA,NA
"272","18","M","WNYF",NA,"Kennedy","clearances","DM3C",NA,NA,"F","WAS",NA,"Williams","pressured","AM3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
"272","18",NA,NA,NA,NA,NA,NA,NA,NA,"D","WAS",NA,"Krieger","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
"273","18","D","WAS",NA,"Krieger","passes.f.c","AM3R","A3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","18","F","WAS",NA,"Williams","lost.touch","A3R",NA,NA,"D","WNYF",NA,"Hinkle","challenged","D3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
"275","19","D","WNYF",NA,"Hinkle","passes.f.c","D3L","DM3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","19","F","WNYF",NA,"Smith","lost.touch","DM3L",NA,NA,"D","WAS",NA,"Krieger","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
"277","19","F","WAS",NA,"Williams","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","19","F","WAS",NA,"Williams","passes.s.c","AM3R","AM3R",NA,"F","WNYF",NA,"Smith","challenged","DM3L",NA,NA,NA,NA,NA,NA,NA,NA
"279","19","M","WAS",NA,"Nairn","passes.b.c","AM3R","DM3R",NA,"F","WNYF",NA,"Smith","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA
"280","19","D","WAS",NA,"Krieger","passes.b.c","DM3R","D3R",NA,"F","WNYF",NA,"Smith","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"281","19","GK","WAS",NA,"Labbe","passes.f","D3R",NA,"launch","M","WNYF",NA,"Ayinde","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA
"282","19","F","WAS",NA,"Williams","aerial.lost","DM3R",NA,NA,"M","WNYF",NA,"Kennedy","aerial.won","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
"283","19","D","WAS",NA,"Krieger","aerial.won","DM3R",NA,NA,"F","WNYF",NA,"Smith","aerial.lost","AM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
"284","19","D","WNYF",NA,"Hinkle","passes.f","DM3L",NA,"throw.in","D","WAS",NA,"Oyster","interceptions","DM3R",NA,NA,NA,NA,NA,NA,NA,NA
"285","19","D","WAS",NA,"Oyster","passes.f.c","DM3R","DM3C","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","19","M","WAS",NA,"Lohman","passes.b.c","DM3C","D3R","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","19","D","WAS",NA,"Oyster","passes.b.c","D3R","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","19","GK","WAS",NA,"Labbe","passes.f.c","D18","D3L",NA,"F","WNYF",NA,"Doniak","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA
"289","19","D","WAS",NA,"Zadorsky","passes.b.c","D3L","D18",NA,"F","WNYF",NA,"Williams","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA
"290","19","GK","WAS",NA,"Labbe","passes.f.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","19","D","WAS",NA,"Kleiner","passes.f.c","D3L","DM3L",NA,"F","WNYF",NA,"Williams","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA
"292","20","M","WAS",NA,"Matheson","passes.b.c","DM3L","D3L",NA,"D","WNYF",NA,"Eddy","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
"292","20",NA,NA,NA,NA,NA,NA,NA,NA,"F","WNYF",NA,"Williams","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
"293","20","D","WAS",NA,"Zadorsky","passes.f","D3L",NA,NA,"D","WNYF",NA,"Dahlkemper","blocks","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
